vds_id,Freeway,Direction,Lat,Lng
1108475,I5,S,33.02625,-117.274915
1119659,I5,N,33.017612,-117.27184
1119666,I5,S,33.017499,-117.272051
1108473,I5,S,33.010643,-117.265228
1119653,I5,S,33.005412,-117.259304
1108471,I5,S,32.995955,-117.25672
1108512,I5,N,32.995723,-117.256395
1126614,I5,N,32.987715,-117.255119
1108468,I5,S,32.979922,-117.253241
1108509,I5,N,32.979329,-117.252709
1119850,I5,N,32.969013,-117.248831
1119842,I5,S,32.96573,-117.247857
1119679,I5,N,32.962322,-117.246309
1119528,I5,S,32.952353,-117.244277
1108507,I5,N,32.950106,-117.243571
1119834,I5,S,32.943428,-117.242592
1119828,I5,N,32.943477,-117.242328
1108437,I5,N,32.932244,-117.241031
1115277,I5,N,32.932271,-117.241036
1108434,I5,S,32.930855,-117.241058
1122575,I5,N,32.925983,-117.23942
1122583,I5,S,32.925921,-117.239666
1122560,I5,S,32.919669,-117.236554
1122567,I5,S,32.919646,-117.236534
1122552,I5,N,32.918793,-117.23544
1118170,I5,N,32.918784,-117.235428
1120754,I5,S,32.91625,-117.232541
1122536,I5,N,32.911944,-117.228498
1122544,I5,S,32.911749,-117.228804
1127123,I5,S,32.908625,-117.22684
1123087,I5,N,32.888657,-117.227453
1108498,I5,S,32.87259,-117.229295
1108719,I5,N,32.87153,-117.229139
1108452,I5,S,32.86542,-117.229933
1118544,I5,N,32.86451,-117.229736
1114296,I5,N,32.855148,-117.231251
1108669,I5,S,32.848811,-117.235604
1118537,I5,N,32.848758,-117.235323
1119817,I5,S,32.842472,-117.23661
1122594,I5,N,32.837787,-117.234529
1108667,I5,S,32.836472,-117.234271
1119637,I5,N,32.834969,-117.233294
1118529,I5,S,32.815542,-117.222956
1108665,I5,N,32.813608,-117.221091
1119307,I5,S,32.807319,-117.21645
1118521,I5,N,32.807939,-117.216589
1108693,I5,S,32.800576,-117.211766
1118707,I5,N,32.797132,-117.209541
1108547,I5,N,32.79154,-117.20716
1108711,I5,S,32.788012,-117.207155
1114035,I5,N,32.788076,-117.2069
1114806,I5,S,32.779286,-117.2086
1114805,I5,N,32.779349,-117.208332
1126411,I5,N,32.770653,-117.206673
1118496,I5,N,32.768302,-117.206075
1126426,I5,S,32.767402,-117.20613
1117818,I5,S,32.749347,-117.195726
1108617,I5,N,32.749525,-117.19554
1108615,I5,S,32.746776,-117.19189
1114050,I5,N,32.746531,-117.190868
1117871,I5,S,32.743125,-117.184141
1108613,I5,N,32.743306,-117.184005
1108609,I5,S,32.741281,-117.180454
1108611,I5,N,32.741137,-117.179918
1118078,I5,N,32.735498,-117.174847
1117717,I5,N,32.735429,-117.174785
1118702,I5,S,32.731858,-117.171925
1117835,I5,N,32.73198,-117.171704
1108605,I5,S,32.731172,-117.171313
1108603,I5,N,32.727284,-117.167641
1117734,I5,S,32.725605,-117.166389
1117741,I5,N,32.723913,-117.164378
1108417,I5,S,32.723898,-117.156068
1113976,I5,N,32.724117,-117.156091
1117683,I5,S,32.723795,-117.151061
1117748,I5,N,32.723971,-117.150962
